L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
9,7,2,1.0,1.0,1.0,-0.0,1.0,0.9000966827473267,False
9,7,2,2.0,1.0,1.0,0.9034923148418083,0.9437619544227703,0.8885883562507866,False
9,7,2,3.0,1.0,1.0,1.6268173029883375,0.8290163226150777,0.8677014672001933,False
9,7,2,4.0,1.0,1.0,2.1743240603255813,0.7300085251323636,0.8431619129231933,False
9,7,2,5.0,1.0,1.0,2.608349553112903,0.6600483016369684,0.8266422041109399,False
9,7,2,6.0,1.0,1.0,2.96651198327419,0.612147792540954,0.81785878334483,False
9,7,2,7.0,1.0,1.0,3.2709687373934715,0.5788715460437122,0.8083217414422268,False
9,7,2,8.0,1.0,1.0,3.5355619932499955,0.5551598063985342,0.8017341602249033,False
9,7,2,9.0,1.0,1.0,3.769446788163347,0.5378126807459093,0.79501240272725,False
9,7,2,10.0,1.0,1.0,3.978971147184103,0.524807924632166,0.7913106977777267,False
9,7,2,1.0,2.0,1.0,-0.0,1.0,0.89115634948532,False
9,7,2,2.0,2.0,1.0,0.7034019527676205,0.9659704637876689,0.8790827998623201,False
9,7,2,3.0,2.0,1.0,1.492147632141352,0.8531411578830442,0.85238706026612,False
9,7,2,4.0,2.0,1.0,2.0979712795525116,0.7433986632455796,0.8137861939591133,False
9,7,2,5.0,2.0,1.0,2.563188742669635,0.6667559770849413,0.7780583111733,False
9,7,2,6.0,2.0,1.0,2.9389949375718523,0.6154892377808167,0.7564474823937033,False
9,7,2,7.0,2.0,1.0,3.2542616328215703,0.5805260718484194,0.74172865923985,False
9,7,2,8.0,2.0,1.0,3.5259255429715064,0.5559442398325841,0.7321570653188132,False
9,7,2,9.0,2.0,1.0,3.7646788782550913,0.5381352453956996,0.7298327134055966,False
9,7,2,10.0,2.0,1.0,3.977694855995305,0.524880517491455,0.7171571268085766,False
9,7,2,1.0,3.0,1.0,-0.0,1.0,0.86851844524192,False
9,7,2,2.0,3.0,1.0,0.4358313298321983,0.9871192736855081,0.8540919780524833,False
9,7,2,3.0,3.0,1.0,1.1234471010399047,0.9136963571243762,0.8237180745986067,False
9,7,2,4.0,3.0,1.0,1.8258083302493586,0.7926357515468256,0.7739745612413433,False
9,7,2,5.0,3.0,1.0,2.3580851549486366,0.6989717625064287,0.7083290358705766,False
9,7,2,6.0,3.0,1.0,2.769981132694788,0.6372526966689598,0.6699080540910034,False
9,7,2,7.0,3.0,1.0,3.106251418117381,0.5960427549472977,0.6347712926027833,False
9,7,2,8.0,3.0,1.0,3.391163067135035,0.5675299796588612,0.6260057722543233,False
9,7,2,9.0,3.0,1.0,3.638810171495211,0.5471092961846213,0.60177454849417,False
9,7,2,10.0,3.0,1.0,3.8580903757496805,0.5320368474325772,0.5995063713619466,False
9,7,2,1.0,4.0,1.0,-0.0,1.0,0.8180381825902767,False
9,7,2,2.0,4.0,1.0,0.28734967628032804,0.9944756683394789,0.8048348398687935,False
9,7,2,3.0,4.0,1.0,0.7477005630165895,0.9615089878013363,0.77629668095801,False
9,7,2,4.0,4.0,1.0,1.4025439074601713,0.8687435496784348,0.7176877658123533,False
9,7,2,5.0,4.0,1.0,2.044092758584343,0.7529881409028885,0.6433722907331734,False
9,7,2,6.0,4.0,1.0,2.525820852618264,0.6724147709247035,0.5848787522667532,False
9,7,2,7.0,4.0,1.0,2.8999522237105255,0.6203271091917366,0.5334371561737633,False
9,7,2,8.0,4.0,1.0,3.207305607978536,0.5852804243422869,0.50595232681403,False
9,7,2,9.0,4.0,1.0,3.469378710489382,0.5606642713733742,0.49182021945027005,False
9,7,2,10.0,4.0,1.0,3.698515228347667,0.5427408283176414,0.49641249255037007,False
9,7,2,1.0,5.0,1.0,-0.0,1.0,0.7290378121274067,False
9,7,2,2.0,5.0,1.0,0.20859138744682262,0.9971142611501775,0.7411695387368733,False
9,7,2,3.0,5.0,1.0,0.5247992826580157,0.9812081953566147,0.7112567527241533,False
9,7,2,4.0,5.0,1.0,0.9837813498077098,0.9334274093847112,0.66266742101664,False
9,7,2,5.0,5.0,1.0,1.6092746701692833,0.8321934308118984,0.5819369340297733,False
9,7,2,6.0,5.0,1.0,2.2060105194439945,0.7245293836575238,0.51680437198466,False
9,7,2,7.0,5.0,1.0,2.6505751314787003,0.6539087384104734,0.4651158840212967,False
9,7,2,8.0,5.0,1.0,2.9963200971479274,0.6085916228809654,0.43144144434360004,False
9,7,2,9.0,5.0,1.0,3.281431520796725,0.5778452331454283,0.4126200956044733,False
9,7,2,10.0,5.0,1.0,3.5255731655776525,0.5559730333266588,0.4046490827120333,False
9,7,2,1.0,6.0,1.0,-0.0,1.0,0.65179541049088,False
9,7,2,2.0,6.0,1.0,0.16192726793169562,0.9982708686228609,0.6583003061921833,False
9,7,2,3.0,6.0,1.0,0.39691926822704854,0.9893502002936512,0.6376768116815399,False
9,7,2,4.0,6.0,1.0,0.7198294940657396,0.9643470061360772,0.5950242506277134,False
9,7,2,5.0,6.0,1.0,1.172130184520827,0.906339917460087,0.5273628148992833,False
9,7,2,6.0,6.0,1.0,1.773134908060775,0.8022941657132098,0.47248383315363657,False
9,7,2,7.0,6.0,1.0,2.335344253036694,0.7027098530995313,0.41773541245413,False
9,7,2,8.0,6.0,1.0,2.751237413014534,0.6397975770596158,0.38320470694873665,False
9,7,2,9.0,6.0,1.0,3.074722720831055,0.5995512822877875,0.3660073234550533,False
9,7,2,10.0,6.0,1.0,3.3420919947558114,0.5720425653141089,0.34739904728413007,False
9,7,2,1.0,7.0,1.0,-0.0,1.0,0.58927643003326,False
9,7,2,2.0,7.0,1.0,0.1315856458008709,0.9988626271160599,0.5810379689063401,False
9,7,2,3.0,7.0,1.0,0.3167759903889917,0.9932662503963571,0.5677076795014667,False
9,7,2,4.0,7.0,1.0,0.5600494986713279,0.9785551514677074,0.5372155399208133,False
9,7,2,5.0,7.0,1.0,0.8835042950528667,0.9462126438058353,0.4896034870446266,False
9,7,2,6.0,7.0,1.0,1.3282531483042501,0.8813106873340485,0.43139236433704337,False
9,7,2,7.0,7.0,1.0,1.9088264155527477,0.7774505408189589,0.37841318640017996,False
9,7,2,8.0,7.0,1.0,2.4434719145743626,0.6852227351391267,0.34399925537468995,False
9,7,2,9.0,7.0,1.0,2.8364412540393955,0.6284401991699772,0.32541655986099666,False
9,7,2,10.0,7.0,1.0,3.1419110782977406,0.5921613851669676,0.3056832398789567,False
9,7,2,1.0,8.0,1.0,-0.0,1.0,0.5147829035668934,False
9,7,2,2.0,8.0,1.0,0.11046006883188272,0.9992007768207011,0.5156851153697266,False
9,7,2,3.0,8.0,1.0,0.26253258491527465,0.9954008115550806,0.5020128939200066,False
9,7,2,4.0,8.0,1.0,0.455942473739762,0.9858816662027821,0.47752251326220335,False
9,7,2,5.0,8.0,1.0,0.7019020198594123,0.9661168633426236,0.4378844485056601,False
9,7,2,6.0,8.0,1.0,1.0238605987241527,0.927984949818485,0.40263365885727664,False
9,7,2,7.0,8.0,1.0,1.46132864748798,0.8585561085554816,0.3548449739823533,False
9,7,2,8.0,8.0,1.0,2.0246350890089975,0.7564761064111749,0.31876128287260663,False
9,7,2,9.0,8.0,1.0,2.5366523108705867,0.6707645035477522,0.28985247875992665,False
9,7,2,10.0,8.0,1.0,2.9107848061225314,0.6189734154221097,0.28189056862162,False
9,7,2,1.0,9.0,1.0,-0.0,1.0,0.4433456055085033,False
9,7,2,2.0,9.0,1.0,0.09498324047552119,0.9994103031605448,0.45493237453751334,False
