L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
9,7,2,1.0,1.0,0.2801726279138618,0.836170321894046,10
9,7,2,2.0,1.0,0.2848513930024076,0.8373327528676014,10
9,7,2,3.0,1.0,0.2829203296435521,0.8585833418979525,10
9,7,2,4.0,1.0,0.2494149461673271,0.8955723175647617,10
9,7,2,5.0,1.0,0.24650728385615667,0.9182980042457981,10
9,7,2,6.0,1.0,0.20451211829809318,0.9479133067675571,10
9,7,2,7.0,1.0,0.1571812815512118,0.967317701387552,10
9,7,2,8.0,1.0,0.14295203627759082,0.9764600213866728,10
9,7,2,9.0,1.0,0.19010647495322808,0.9646695550092796,10
9,7,2,10.0,1.0,0.2079869212745812,0.9636293717830088,10
9,7,2,11.0,1.0,0.15090454174427653,0.9695769239654993,10
9,7,2,12.0,1.0,0.11834395908186149,0.9821328098394363,10
9,7,2,13.0,1.0,0.2301397355503333,0.9523792873020296,10
9,7,2,14.0,1.0,0.11685084002146925,0.9666592888493599,10
9,7,2,15.0,1.0,0.13548869366867847,0.9784624997423539,10
9,8,2,1.0,1.0,0.3314440722948318,0.7813281899800186,10
9,8,2,2.0,1.0,0.3457186185327826,0.7788130203518178,10
9,8,2,3.0,1.0,0.3309780277595761,0.8141150470903935,10
9,8,2,4.0,1.0,0.2874232874081661,0.8701034442916586,10
9,8,2,5.0,1.0,0.2546302215027055,0.9014332129721018,10
9,8,2,6.0,1.0,0.23620097060942633,0.9302421795926618,10
9,8,2,7.0,1.0,0.2293817729743609,0.9439303105705447,10
9,8,2,8.0,1.0,0.19001311830623818,0.9602672305129307,10
9,8,2,9.0,1.0,0.20025631627736704,0.9609030214149714,10
9,8,2,10.0,1.0,0.24121836370508154,0.9484865807572472,10
9,8,2,11.0,1.0,0.18701019734895724,0.9660910462808473,10
9,8,2,12.0,1.0,0.2027683684181607,0.9550343104085869,10
9,8,2,13.0,1.0,0.4065561707648643,0.8878125527966134,10
9,8,2,14.0,1.0,0.16673421228669896,0.9580494715275794,10
9,8,2,15.0,1.0,0.1549419136589333,0.9602223970464171,10
9,9,2,1.0,1.0,0.32770036905649713,0.7887232783655755,10
9,9,2,2.0,1.0,0.33628293252429436,0.7905691555311668,10
9,9,2,3.0,1.0,0.33272797925272823,0.8140014250980533,10
9,9,2,4.0,1.0,0.302021299054398,0.8599761964221426,10
9,9,2,5.0,1.0,0.2681401220648475,0.8975639837185918,10
9,9,2,6.0,1.0,0.26120151456038654,0.9172896309567521,10
9,9,2,7.0,1.0,0.23452786843719814,0.9388556196691941,10
9,9,2,8.0,1.0,0.22875880253896516,0.9438412779326497,10
9,9,2,9.0,1.0,0.2067396023818232,0.9565794294330346,10
9,9,2,10.0,1.0,0.19786505267202484,0.9528222156850343,10
9,9,2,11.0,1.0,0.1875641861076515,0.9668083270859161,10
9,9,2,12.0,1.0,0.22224379915620562,0.9407734096804442,10
9,9,2,13.0,1.0,0.2377405618623931,0.9404320707742359,10
9,9,2,14.0,1.0,0.19914104961098641,0.9370984853675033,10
9,9,2,15.0,1.0,0.2279330342283071,0.9385555467223642,10
9,10,2,1.0,1.0,0.3537421751668505,0.7589333240420318,10
9,10,2,2.0,1.0,0.36801973649601416,0.7572424741513292,10
9,10,2,3.0,1.0,0.3499336471375281,0.796403957878192,10
9,10,2,4.0,1.0,0.32661118253269383,0.8378638967424312,10
9,10,2,5.0,1.0,0.29901271320971534,0.8794289371446454,10
9,10,2,6.0,1.0,0.26062579530212465,0.9078341669060024,10
9,10,2,7.0,1.0,0.26378315246468675,0.9234739871169911,10
9,10,2,8.0,1.0,0.23491009077639619,0.9360285711760895,10
9,10,2,9.0,1.0,0.22693284801302055,0.9480135283701846,10
9,10,2,10.0,1.0,0.1866246846149282,0.9572065716539929,10
9,10,2,11.0,1.0,0.16263003171866836,0.9590278593353854,10
9,10,2,12.0,1.0,0.30746080884473825,0.9322159076089805,10
9,10,2,13.0,1.0,0.28463453983751036,0.9265215825311298,10
9,10,2,14.0,1.0,0.13319029773981217,0.9681069774070135,10
9,10,2,15.0,1.0,0.1883119738560068,0.9276091362621607,10
9,11,2,1.0,1.0,0.3187392947075605,0.7975064628405274,10
9,11,2,2.0,1.0,0.32493200732431027,0.800028578272095,10
9,11,2,3.0,1.0,0.32366860511652085,0.8203501836169959,10
9,11,2,4.0,1.0,0.29958938625484305,0.8553792609495914,10
9,11,2,5.0,1.0,0.28189889533645934,0.8897701969333802,10
9,11,2,6.0,1.0,0.2552071379029718,0.91583199113844,10
9,11,2,7.0,1.0,0.2466114449913233,0.9255943510988031,10
9,11,2,8.0,1.0,0.25644742481513655,0.9348889887420713,10
9,11,2,9.0,1.0,0.16595632033401547,0.9610698441357147,10
9,11,2,10.0,1.0,0.2371730373193349,0.9435807554722706,10
9,11,2,11.0,1.0,0.18780745356192424,0.9557671907263995,10
9,11,2,12.0,1.0,0.17903004749607204,0.9632609919317209,10
9,11,2,13.0,1.0,0.25377292905879956,0.9339474071295712,10
9,11,2,14.0,1.0,0.21143464680156768,0.961020220667699,10
9,11,2,15.0,1.0,0.21959160732711297,0.9381985432893366,10
