L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
9,7,2,1.0,-0.012589369754403728,0.903284374524158,0.9389408168094076,10,0.0,1
9,7,2,2.0,-0.020907133436131375,0.9041686100899937,0.9369029722894797,10,0.0,1
9,7,2,3.0,-0.034132866492391646,0.9037905790890699,0.9535962243674518,10,0.0,1
9,7,2,4.0,-0.042719398129641935,0.8722297604348103,0.9507651574878085,10,0.1111111111111111,0
9,7,2,5.0,-0.04409823261575193,0.8082102131167267,0.9536809241882171,10,0.1111111111111111,0
9,7,2,6.0,-0.040271055563339805,0.7271897973170975,0.963135398903155,10,0.1111111111111111,0
9,7,2,7.0,-0.03633241744611818,0.6548028670794874,0.9688341921098548,10,0.0,1
9,7,2,8.0,-0.030281217778793924,0.576133781555194,0.9671427926105569,10,0.1111111111111111,0
9,7,2,9.0,-0.024425297310861842,0.5081660764108654,0.9282990929504267,10,0.2222222222222222,0
9,7,2,10.0,-0.020331755866627884,0.45615762684434474,0.9187234755940648,10,0.1111111111111111,0
9,8,2,1.0,-0.01926541401903929,0.9196092571754774,0.9493934248348085,10,0.0,1
9,8,2,2.0,-0.028391510895910816,0.9299278311706468,0.9603538299021828,10,0.0,1
9,8,2,3.0,-0.03925617917997053,0.9322141098727164,0.9650649420066948,10,0.0,1
9,8,2,4.0,-0.04631579608449808,0.9058352445516392,0.9681755935102074,10,0.0,1
9,8,2,5.0,-0.046678084593725404,0.8466364411618947,0.9650046957122949,10,0.0,1
9,8,2,6.0,-0.04260427999528473,0.7661216460985464,0.9591636584707073,10,0.1111111111111111,0
9,8,2,7.0,-0.03668664037341485,0.67928943116823,0.9445194370213618,10,0.1111111111111111,0
9,8,2,8.0,-0.03237169192901694,0.613204581228325,0.9442943404616162,10,0.1111111111111111,0
9,8,2,9.0,-0.026368364798345863,0.544102766350257,0.9284084387937758,10,0.1111111111111111,0
9,8,2,10.0,-0.021461026203902795,0.48599044651356405,0.8879197291766934,10,0.2222222222222222,0
9,9,2,1.0,-0.01401006360073761,0.9155800613247825,0.9667320139992964,10,0.0,1
9,9,2,2.0,-0.021032578884071573,0.9207049125652391,0.9703390071107878,10,0.0,1
9,9,2,3.0,-0.033202902854156016,0.9282883170330861,0.9726950866559431,10,0.0,1
9,9,2,4.0,-0.04172645045181506,0.911062620024179,0.9716272410708625,10,0.0,1
9,9,2,5.0,-0.045098674960183695,0.8629761740618532,0.9632657548528786,10,0.0,1
9,9,2,6.0,-0.042640640789318805,0.790067700828513,0.9547385637540112,10,0.1111111111111111,0
9,9,2,7.0,-0.03754675371002068,0.7095650296272964,0.9325022176233394,10,0.2222222222222222,0
9,9,2,8.0,-0.031731767485318606,0.6342081189580492,0.9231862055251291,10,0.1111111111111111,0
9,9,2,9.0,-0.027155192868695284,0.5671939786741317,0.9234587192407718,10,0.1111111111111111,0
9,9,2,10.0,-0.021723535195911022,0.5071190639805193,0.8997852394416386,10,0.2222222222222222,0
9,10,2,1.0,-0.019360319403944747,0.9244561558575431,0.9565779530883307,10,0.0,1
9,10,2,2.0,-0.026900903106087518,0.9343624001751074,0.9680618193897731,10,0.0,1
9,10,2,3.0,-0.0367158038642423,0.939497606431182,0.9690778038675737,10,0.0,1
9,10,2,4.0,-0.04346142969580372,0.9239383071574988,0.9699540873053557,10,0.0,1
9,10,2,5.0,-0.04491191479546332,0.8741029944173949,0.9618701806901062,10,0.1111111111111111,0
9,10,2,6.0,-0.04202853086051257,0.8042756777301722,0.9529684130254403,10,0.0,1
9,10,2,7.0,-0.03696660156362748,0.7210142038057604,0.9279923495984554,10,0.1111111111111111,0
9,10,2,8.0,-0.031231935318275058,0.6425537431924638,0.9125970412425366,10,0.2222222222222222,0
9,10,2,9.0,-0.02772864647067531,0.589774659768464,0.9062830883388332,10,0.2222222222222222,0
9,10,2,10.0,-0.022611688974496717,0.5254746699659392,0.9077510104989777,10,0.2222222222222222,0
9,11,2,1.0,-0.01286718616464788,0.9100693983444713,0.9570580707366158,10,0.0,1
9,11,2,2.0,-0.01860230028033504,0.9134218620906523,0.9592266627256351,10,0.0,1
9,11,2,3.0,-0.02895367658848822,0.9195849601351493,0.9657605674789671,10,0.0,1
9,11,2,4.0,-0.03822600496826741,0.9100505064749209,0.9728549934368215,10,0.0,1
9,11,2,5.0,-0.04077428423471944,0.8639219629618087,0.9609396238535116,10,0.1111111111111111,0
9,11,2,6.0,-0.039158563868429905,0.7977534791651103,0.9521861105122493,10,0.2222222222222222,0
9,11,2,7.0,-0.03519053641563964,0.7248825768248678,0.9315197239068355,10,0.2222222222222222,0
9,11,2,8.0,-0.03006739342205248,0.6508719724060549,0.910364775216747,10,0.1111111111111111,0
9,11,2,9.0,-0.027029825885326524,0.5965275965413522,0.9350076276966066,10,0.1111111111111111,0
9,11,2,10.0,-0.021080772362428963,0.526795990729786,0.8800789135192656,10,0.2222222222222222,0
